"solution_id","user_id","solution_body","solution_details"
1,"admin","terapeuttinen harjoittelu","terapeuttinen harjoittelu tarkoittaa asiakas kuntouttaminen aktiivisilla ja toiminnallinen harjoite (mukaan lukea venyttely), joka perustua fysioterapeutti tehdä tutkimus ja ongelma määrittäminen."
2,"admin","liikunta (yleisesti)","liikunta olla tarkoituksellinen fyysinen aktiivisuus, joka tarkoitus olla esimerkiksi kunnon kohottaminen, terveys parantaminen tai pelkästään liikunta tuottaa ilo ja nautinto."
3,"admin","informaatio ja valistus","informaatio pyrkiä antaa potilas oikea tieto, jotta hän ymmärtää paremmin selkäkipu syy, se ennuste ja erilainen hoitovaihtoehto. informaatio pyrkiä myös vaikuttaa potilas käyttäytyminen ja motivaatio, jotta hän uskaltaa käyttää selkä oikein ja hyödyllinenitä harjoite. "
4,"admin","manipulaatio","manipulaatio tarkoittaa erilainen käsillä tehdä hoitotekniikka, joka lisätä yksittäinen nikama liikerata hallita ja nivel liikerata suuntainen liike."
5,"admin","lääkehoito","selkäkipu lääkehoito pyrkiä poistaa tai lieventää kipuoire erilainen tulehdusreaktio tai kipurata toiminta vaikuttaa lääke."
6,"admin","voimaharjoittelu","lihasvoima ja kestävyys parantaminen progressiivinen harjoittelu. erityisesti syvä lihas pitää saada kunto esim. pilatestyyppinen harjoite."
7,"admin","yleis-sairaus ja riskitekijä vaikuttaa","yleis-sairaus ja muu selkä vaikuttaa tekijä hoitaminen. selkäkipu yhteys olla elämäntapatekijä olla mm. tupakointi, ylipaino, liikkumattomuus."
8,"admin","ergonomia","työ ja vapaa-aika toimi kohdistua muutos; esimerkiksi työtapa ja menetelmä, työväline, työympäristö, ja työ järjestely muutos."
9,"admin","perusteellinen biopsykososiaalinen arvio","perehdytys ala-selkäkipu patologi, ennuste ja syy biopsykososiaalinen näkökulma.potilas selkä toimintarajoite ja väärä elämäntapojhen korjaus tarvita moni-ammatillinen. motivointi omatoiminen harjoittelu."
10,"admin","venyttely","aktiivinen harjoittelu. Jäykkä selkä mobilisaatio. lihas venytysharjoite kireys. "
11,"admin","hengitysharjoitus","Syvä hengittäminen (palleahengitys) selkä mieluiten piikkimatto päällä maata, jalka koukku. auttaa rentouttaa lihas ja vähentää kipu. hengittäminen ajatus siirtäminen ja tietoisesti hengitys ohjaaminen eri osa keuhko. laaja hengitysmuoto olla palleahengitys. hengitysharjoitus voida toteuttaa mikä asento tahansa, kunhan asento olla niin mukava, että hengitysharjoitus voida keskittyä vain hengitys. auttaa rentoutua ja hallita kipu."
12,"admin","psykologinen hoito","kipupotilas psykologinen hoito perustua kognitiivisbehavioraalinen menetelmä, joka apu pyrkiä parantaa ensisijaisesti potilas potilas kokonaisvaltainen; erityisesti psykososiaalinen toimintakyky ja itsehoito ote. KBT terapia auttaa potilas rauhoittaa ja vakauttaa kognitiivisemotionaalinen ja psykofyysinen kipukokemus. KBT:lla pyrkiä auttaa potilas rakentaa myös identiteetti uusi tavalla, hyväksyä muuttunut tilanne ja kasvaa ongelma subjekti."
13,"1457423284Vu0Rev1aeWdPxel","asdfasdf","asdfasdf"
14,"14578451118GPa50qi6DDHkqD","voimistelu","Fysiotetapeuttaa ohjaus  selkä ja vatsa lihas vahvistaa liike"
15,"1457852980lJs75jsa3xXb1eU","",""
16,"14578558386yPcnQ8RlLQ8PUc","liikunta","erilainen liikuntamuoto, erityisesti uinti ja hiihto."
17,"1457854056JG61B1Jte58cRZ4","ITSEHOITO","PITKÄJÄNTEINEN SEURANTA JA ANALYSOINTI KIVUN SYISTÄ. LAITA YLÖS MIKÄ KOHDALLASI PAHENTAA TAI PARANTAA TILANNETTASI, JA MUUTA KÄYTTÄYTYMISTÄSI NÄIDEN TIETOJEN POHJALTA. LÄÄKKEILLÄ SAA KYLLÄ NOPEAN VAIKUTUKSEN, MUTTA VARSIMAINEN SYY VOI JÄÄDÄ SELVITTÄMÄTTÄ JA KIERRE ALKAA.  LIIKUNTA JA VENYTTELY ENNALTAEHKÄISEE JA KEVYT PITKÄKESTOINEN LIIKUNTA TOIMII HYVIN MYÖS KIVUNLIEVITTÄJÄNÄ. "
18,"1457855021eDLuTb0oU6XbqHg","kipu aiheuttaa tekijä havainnollistaminen","esim kivulias liike etsiminen tai toisaalta helpottaa  harjoitus etsiminen yhdessä potilas kanssa voida opettaa potilas tutkia omata toiminta.. sama looginen päättely malli voida toteuttaa myös lääke vaikutus arviointi; potilas voida pitää päiväkirja joka tarkkailla selvittää asia.  kokemus ja havainto voida käyttää hyvä potilas motivointi . kognitiivinen työkalu olla usein liian teoreettinen ja kaukana käytäntö toiminta...psykologi saattaa tarkkailla potilas liikaa psykologia näkökulma."
19,"1457856690HPvbXhxmyWdQq5x","ei jämähtää","mikä tahansa olla parempi kuin  istua tuntitolkulla!"
20,"1457855631SPyoj6MvIbfQueN","liike olla lääke","oma rajoitus huomioon ottaa, säännöllinen ja mieluisa liikunta "
21,"1457868573aytSPGhx1c9Pxvh","feldenkraisharjoite","hienovarainen ja lempeä liike avulla oppia kuunnella itse ja mahdollisesti jopa löytää kipu lähde sekä tätä kautta vaikuttaa kipu synty."
22,"1457873885Fc8VG72Ejdsemm6","lihanenkalvokäsittely",""
23,"1457877030WfFU19f7LCwg8wD","nukkuminenergonomia","korkealaatuinen, riittävä kova ja muotoutua patja sekä ergonominen tyyny auttaa selkä rentoutua päivä rasitus."
24,"1457882993JoHK4Q4FHpPkS8f","rustojumppa","erilainen pilates ja jooga asento joka toistaa 15 kerta toisto."
25,"1457883846i1Dr3AWDHgh8HId","säännöllinen itse sopia liikunta","löytää itse ja selkä parhaiten sopia liikuntamuoto tai muoto. liikkua säännöllisesti, mieluiten usea kerta viikko. "
26,"14579354207XORfYOV03s0biX","selkäPT","kipufysiologi erikoistua fysioterapeutti ohjaus omatoiminen hoito ja liikunta."
27,"1457951545HL8ld0qqJ8M833y","Tieto","kansantajuisesti selvittää selkä, lihas koko ruumis anatomia, että ymmärtää miten liikuttaa  ja vahvistaa itse."
28,"1458022827MqMrYRhHfVnuAtL","lihanenkuntoharjoittelu ja venyttely yhdistelmä olla oma osa toimia parhaiten. edellyttää tieto oikea liike ja se mikä lihas pitää venytellä.",""
29,"1458135388cOMB0yGrMhPfP0b","henkiä hyvinvointi","krooninen kipu kohta hyväksyttää kipu osa elämä. tukea oma voimavarat, löytää elämä mielekäs mukava asia."
30,"14601239850TdVcb55FohPv75","perinteinen jäsenkorjaus","perinteinen jäsenkorjaus olla erittäin pehmeä hoito, joka käsitellä koko keho.  sinä hoitaja pehmittää lihas, lihanenkalvo, sidekudos,  ja jänne enne kuin siirtyä nivel mobilisaatio.  se olla nivel hellävarainen avaaminen keho oma liikerata hyvä käyttää. hoito ei tuottaa kivuta mikään vaihe, vaan asiakas kiputuntemus kuunnella ja kunnioittaa.   perinteinen jäsenkorjaus ei kuulua \"niksautuksia\" ei minkäänlainen manipulaatio."
31,"1460126595LtAINhBGhd2KMB4","työhyvinvointi","työnantaja tulla kuunnella enemmän ehdotus selkäkipuinen työergonomia. Kela tulla korvata osa työkyky ylläpitää laite."
32,"1460127576wkScZLmT2ZqfQMi","alkuvaihe tehoka kuntoutus","Miele selkäkipu hoito olla tärkeä saada mahdollinen nopeasti asianmukainen fysioterapia ja ohjeistus liikkuminen. mikään tapaus ei tulla kieltää liikkua. kipulääkitys tulla aloittaa myös kevyt lääkitys ei kovis morfiinijohdannainen. lääkäri tulla perehtyä selkäkipupotilas hoito paremmin. "
33,"1460128756YPad7bGJwc4JsAT","lämpöterapia","kuumavesipullo kipeä kohta"
34,"1460127536bqtgmaePNJ9sYvf","kipu tosissaan ottaminen","lääkäri voida ottaa enemmän tosi kipu ja lähettää jatkotutkimus. aina ei ylipaino olla syy vaan se voi olla seuraus kipu."
35,"1460141919I9pyFne7H0p86ae","sidekudoshieronta","selkä hieroa sidos-kudoksinen ei pelkästään lihas"
36,"1460144959ZfqblZ4JEMLAg8U","puudutus,  lääkitys ja vesikuntoutus","yhdessä nämä akuuttivaihe eteenpäin"
37,"1460146094xkj891H4fjNlWnD","vähentää istua ja välttää äkillinen kuormittaa liike",""
38,"14601464350zdJyQh0Nc2yxwH","Konsti olla moni","Ole kokeilla selkä rentouttaa suolahaude, TENS laite joka todella toimia ja vähentää kipu, selkä kiputila olla yrittää vähentää yö sitoa vyötärö rulla joka tehdä alaselkä notko, pullistuma olla taaksepäin ja \"tekonotko\" auttaa kiputila. auto ajaa pitää puoli litra limukka pullo selkä takana että alaselkä olla notko. akupunktio auttaa rentouttaa tehokkaasti lihasjännitys ja vähentää näin kipu. olla kokeilla selkä kipu jäsenkorjaaja apu, osteopaatti, naprapaatti käsittely, vaikutus krooninen kipu vähäinen. ennen kipu krooninentuma jäsenkorjaaja käsittely auttaa. olla kokeilla energiahoito, ei auttaa. olla kokeilla fysioterapeutti lihas faski käsittely, ei toimia olla todella kipeä.  kipulääkitys ja TENS laite pitää minä toimintakykyinen, lisäksi lihanenkunto ylläpitää. joogapilates toimia liikkuvuus ylläpitäjä. "
39,"1460142548YS9qXnpIJlgXpiq","musiikkiterapia ","mieleinen musiikki kuunteleminen, soittaminen ja laulaminen vähentää kiputuntemus ja lisätä henkistää hyvinvointi. laulaa palleahengitys helpottaa ala-selkäkipu."
40,"1460151223RBbyybgpxmXw0CG","kevyt liike joka päivä",""
41,"1460188557ImBeqKjpBoM6HSI","McKenzie (MDT) harjoite","MDT terapia perehtyä fysioterapeutti ohjata ranka taivutusharjoite ja ergonomianeuvonta, joka perustua tarkkaan tutkimus ja arvio kipu alkuperä. samalla saada tarkata kuvaus ja tieto ranka toiminta ja anatomia."
42,"1460188518PpMiH7sqFmegFcB","pediterapia","tehdä  perusteellinen  jalka  tutkimus  ,, käsi  tunnustella,, jalka  eripituisuus  tarkistus,,( tutkimus  kestää  nuo  tunti ). joka  peruste  tehdä  2 pari  pediterapia tukipohjallinen,,i  korjata  alaraaja  kaikki  nivel  virhe-käynti,,  sekä  aloittaa  selkä  skolioosi  oikaisu. samalla  vapautua  pinne  olla  hermorata,, sekä  etä-verenkierto  elpyä."
43,"1460191008tEeB2EmDfG5mtab","kipu syy olla selvittää, kukin soveltua hoito sekä oieta kotihoitoohje joka tarkistaa hoito edistyä, ","aivan alku olla kliininen testi ja haastattelu selvittää kipu syy, jos mahdollistaa hoitaa kiropraktiikka, naprapatia, ortopetinen osteopatia. he olla pätevyys arvioida voida hoitaa nämä menetelmä, he olla tietotaito neuvo asiakas kotihoitoohje  tai vakava tapaus he lähettää ortopedi jatkotutkimus varten. tai jos asiakas hakeutua ensin lääkäri olla jo terveyskeskuslääkäri ja työterveyslääkäri olla paljon kattaa tieto miten selkäkipu tutkia kliinisesti.  tällöin turhaan pitkittyä lääkekuuri sijaan nopeammin ohjata tapaus-kohtaisesti oikein suunnitella kuntoutua tai äärimmäinen keino tarvita leikkaus.  "
44,"1460194897iIcGRi3n7TU4NO3","ortopedinen osteopatia","ortopedinen osteopaatti työ perusta olla tarkka haastattelu ja kliininen tutkiminen ortopedisilla ja neurologisilla tutkimus menetelmä. myös röntgenkuva tulkita olla myös osa tutkiminen.  jokainen hoitokerta dokumentoida ja tarvita asiakas ohjata jatkotutkimus erikoislääkäri tai muu terveydenhuolto ammattilainen.  
hoito koostua erilainen pehmytkudos hoitotekniikka, nivel mobilisaatio ja manipulaatio sekä asiakas oma kuntouttaa harjoittelu ohjaaminen. "
45,"1462046568gS11Ro3djw95EjF","mieli hallinta","ajatus voima olla ihminen voimavara. harjoitus apu pyrkiä saavuttaa rentous tila,  joka voida hallita oma tunemus ja mieliala. ei antaa kivunhallita olla olo vaan lujittaa mieli myönteinen ajattelu. siirtyä hetki  se rentous tila joka olla siellä ihananen paikka joka ei olla kipu ei tuska. luoda oma ihanne olotila ja paikka. mieli voimalla toistua harjoitus päästä se tila. me jokainen olla ihmeellinen voimavarat kun vain harjoittaa ne tarve tehokkaasti ja uskoa se. "
46,"1462209202hdCXUt9e7SdL25z","lämpö auttaa","Oma ongelma tulla ilmi yö. mieli patja ei olla kyllin kehittyä. selkäongelmainen patja pitää olla lämmin ja \"itse elävä\". painopistealue pitää muuttua ilman että potilas kääntää kylki. Selkä dekupitus patja voida ottaa vihje..."
47,"1462345068McVlqu4FiyvHqyR","Metsä kävely","hankalakulkuinen maasto kävely kehittää oikea lihas luonnollisesti. samalla mieli levätä, mikä vaikuttaa positiivisesti mieliala ja se kautta kipukokemus."
48,"1463944540ldHBEZKU9rmr5BA","vesiliikunta","liikunta vesi, kipu salliminen raja, liike ja vesi edesauttaa rentous jännittyä lihas auttaa."
49,"1463977785dzoC9dzj51fzjjf","lääkkeetön kipuhoito","hyvä kokemus PhysioTouch hoito, Hivaa hoito ja lääkkeetön IceWave foto-terapiatuote. "
50,"1463994562BPYKg4Rw30GRVNl","fasciaketju avaus",""
51,"1464002278NbNtiDxGAyd2YZ0","omaehtoinen säännöllinen keskivartalolihas vahvistaminen. ","päivittäinen säännöllinen \"selkäjumppa\". pitää selkä tukea lihas hyvä kunto, halpa ja helppo toteuttaa mikä vain. erilainen harjoite löytyä vaikka kuinka paljon, jokainen löytyä joku harjoitus joka voida tehdä. säännöllisyys olla kuitenkin olennainen asia; päivittää silloin kun selkä ei oireilla. "
52,"1464002278NbNtiDxGAyd2YZ0","omaehtoinen säännöllinen keskivartalolihas vahvistaminen. ","päivittäinen säännöllinen \"selkäjumppa\". pitää selkä tukea lihas hyvä kunto, halpa ja helppo toteuttaa mikä vain. erilainen harjoite löytyä vaikka kuinka paljon, jokainen löytyä joku harjoitus joka voida tehdä. säännöllisyys olla kuitenkin olennainen asia; päivittää silloin kun selkä ei oireilla. "
53,"14670050081ChbEDeS1uL4kV1","Päivä kerta elämä tapa muutos","Stressittömänpi asenne, kivuton ajanjakso nauttia, kunnon kipulääkitys, kun olla tarve ja se turva liike, mikä tahansa, koska se edistää verenkierto. siirtyminen osa-aikainen työ, jos kipu kroonistua, vapaapäivä lupa myös lepäillä. pakonomainen liikunta harrastaa auttaa vain harva, ei ainakaan taikoa välilevy entinen????"
54,"1469503236yqrHOZxtrwaOJF2","leikkaushoito","leikkaushoito voida korjata selkä jo olemassaoleva ongelma"
55,"14701843856SPIBnggpExu2UM","pdf","asdf"
56,"14701843856SPIBnggpExu2UM","pdf","asdf"
57,"1470662828rYQ1F8A8DUkTkdG","selkä vahva","selkälihas säännöllinen treenata muistaa myös lepopäivä ja sen päiväinen kunnon mukaisesti liikkua ja venytys yhdistetty sopiva kipulääkitys ja välttää selkä kuormittaa liike ja nosto."
58,"14706638604qKvGlv4tIM7Y7R","ymmärrys","kun uskoa, että potilas olla kipeä ja antaa kipu täsmälääke, ei niin, että koko pää olla pyörällä kuukausi toinen vaan niin, että potilas kyetä elämä kipu kanssa. antaa mahdollisuus hidastaa työtahti ja antaa mahdoll.o rauha, mahdollisuus lepo."
59,"1470664385SRULtqIB9A3Ugh0","Potila tarkka kuunteleminen ja huomioida","Asi suhtautua vakavasti heti oire alkaa. tehdä tarkka tutkimus, ensimmäinen magneettikuvaus. tarve mukaan kipulääkitys, hoito ja leikkaus harkinta. tarpeen arviointi potilas näkemys olla tärkeä, koska kipu olla hän."
60,"1470665092JrX15JgmNIe4uoi","työasento","työpaikka tulla huomioida selkäsairas työolosuhteet (työtaso, istua jne...)"
61,"14706657742EEwIYZ5qQd9kSy","tauota työ ,jos voi","Ole huomata,että jos seisoa jalka päällä usea tunti ja tee työ,selkä kipeytyä ja  ranka olla jäykkä,kun rautakanki,samoida lihas.Mikäli mahdollistaa ,on pidetä lepotauko .Lya työpäivä olla parempi,u se ei olla mahdollistaa,valittaa."
62,"1470668722olIerufEFSn2r4d","oikeanlainen lääke ","lääke kokeilla aktiivisesti, kunnes sopiva lääkitys löytyä."
63,"1470669974qkDwpfEpqwAavYS","Ryhmä tulla lähteä",""
64,"1470669201VJQ10YtavTrL1sF","tukilihas","harjoittaa syvä lihas, joka ylläpitää keho tukea sekä ryhti. tämä lihanenryhmä auttaa tasapaino yleisesti ja tasapainoharjoite. raskas harjoittaa."
65,"1470671379gAdqOj8ibZWHg1r","neuvonta yhdistää selkä halintaharjoitus",""
66,"1470671801D6ld5hZbR6oujP1","Viisi vinkki ala-selkäkipu hoito","1. akuuttivaihe tarvita lääkitys ja sopia kevyt liike (fysioterapeutti ohje).
2 ergonomia tarkistus työ ja vapaa-aika (tarvita ohjaus).
3 tukilihaksisto vahvistus (oieta  liikesuoritus, ammattilainen voida tarkistaa myös kokea liikkuja suoritus, koska toisinaan olla sokea oma tekniikka).
4. lihanenhuolto. dynaaminen verryttely, venyttely. putkirullaus. hieronta.
5 stressi lievitys!! löytää oma tapa: esim. rauhallinen ulkoilu, metsä, meditointi, venyttely, lukeminen, leipominen, hengitysharjoitus jne.
 PLUS: lääke ei olla pitkäaikainen ratkaisu, ne ei poistaa itse kipu syy. myös leikkaus olla yleensä viimeinen vaihtoehto, ja tämä jälkeen esim.ergonomia ja tukilihas vahvistaminen olla avainasema."
67,"14706712710LXVVeIv6VUZWc6","hidas vahvistaminen, onnettomuus välttely ja kipukierre nopea katkaisu","oieta hoito riippua selkä tila. jatkuvasti oireilla selkä olla lähtö-kohtaisesti sairas ja se pitää ottaa huomio kokoaja. kun selkä olla kivuton, tehdä keskivartalo vahvistaa liike. esim. silta olla hyvä liike tai se johtaa harjoittelu. vahvistaminen pientää selkä kipeytyä todennäköisyys, kylläkin hyvin hitaasti. selkävaivainen täytyä aktiivisesti välttää onnettomuus, joki selkä kipeytyä ja mahdollinen kipukierre voida alkaa. esim. varoa rengas vaihto, kaatuminen tai pitkään huono asento oleminen voida antaa kipu sytyke ja monesti johtaa hankalata kipukierre, joka ei tahtoa saada laukaistu. jos ja kun kipu ilmeentyä, pitää se yrittää katkaista mahdollinen nopeasti tehokas kipulääke ja verryttää liikunta kuten kävely tai pyöräily."
68,"1470673106P1qIz50S0pSggTf","pilates","toimia kipuhallinta paremmin kuin särkylääke"
69,"1470673343ZqbqM3Zoq5U4Wq0","Psoasasento","Maa selimakuu, jalka 90aste kulma, rento palli päällä ja rentoutua. auttaa paremmin jos selkä alla ja jalka päällä olla lämmin. Fysio lämpönenavi auttaa nopeiten."
70,"1470673106P1qIz50S0pSggTf","liikunta & hieronta","liikkua, mutta palautuminen käyttää apukeino, koska selkä mennä jumiin liikkuminen."
71,"1460115801NYi3nxHlEOGGhEe","tunne itse","liikkuminen, treenaus, lääke yms päivä kunnon ja tuntemus mukaan."
72,"1470676324xlGydTPlycmN0UJ","Vatsaja selkälihas kunto huolehtiminen sopia liike. selinmakuu ja ylä-vartalo kohotus irti lattia , hidas paluu vaakataso. toisto 15 -20 .",""
73,"1470677228uAtzZPJjLhQjQa2","osteopatia,tanssi ja välttää kyykkiä","kyykkiä sijaa kitkeä kontata ja esim mustikka poiminta sama juttu"
74,"1470678382sMW40zYm7TfTYsp","venyttely","huolellinen ja kiireetön venyttely ehkäistä kipukierre"
75,"1470680151yq6WzN8WjO4eTrX","ohjata harjoittelu","ammattilainen ohjata harjoitusohjelma yksilö tilanne mukaan."
76,"1470681138E1n8ZlRAs5ZqUSV","tunnistaa keho eri tuntemus ja toimia ","perus-tieto keho toiminta-periaatteinen ammattilainen. olla aktiivinen itse ergonomia, vasta-liike ja lihanenhuolto kanssa. ei mennä muoti mukana ääriraja.  kuunnella keho vaste tekeminen. "
77,"1470682880XeXVmkgDigJQWD6","hieronta rullaus","hierontaputki rullata käyttää omata kroppa."
78,"1470687328G9ReYoVZsvtxCVA","Alexandertekniikka omia liiketapa muuttaminen läsnäolla ja vapaa suunta","Alexandertekniikka apu voida oppia olla ja toimia vapaa ja läsnäolla. yleinen krooninen ala-selkäkipu se olla todeta laaja tutkimus antaa pitkäkestoinen apu kipu vähentää merkittävästi kipupäivä määrä sekä parantaa toimintakyky. vuosi seuranta se antaa parempi tulos kuin hieronta, liikunta neuvonta tai tapaomainen lääkäri vastaanotto.  rajoittaa tekijä olla että se oppiminen vaatia henkilökohtainen ohjaus, mutta tutkimus olla saada jo kuusi kerta vaikutus varsinkin kun se olla yhdistyä liikuntaresepti.  googlata: \"Randomised controlled trial of Alexander technique lessons - BMJ\" tai \"Alexandertekniikka potentiaali kuntoutus opinnäyte\". "
79,"1470768106ACtsrjk3eZRJPeM","naprapatia","naprapaatti antaa hoito ja liikuntaohje"
80,"1470772756Ly7s0RdgyXHwFWU","osteopatia","osteopaatti tutkia kipeä selkä ja löytää ongelmakohta esim nikama liikerajoitus. osteopatia liikerajoitus voida hoitaa manipuloida tai pehmeä tekniikka. aina tilanne ja ihminen mukaan. osteopaatti myös ymmärtää sisäelin vaikutus alaselkä kipuilu, esimerkiksi eturauhanen säteilykipualue alaselkä. osteopaatti seurata ala tutkimus ja perustaa hoito tutkia tieto, syvällinen anatomia ja fysiologia ymmärtäminen, tarkkaan käsillä tunnustelu elää palpaatio sekä osteopaattinen perinnetieto - siis se mikä käytäntö olla todeta toimivaksi."
81,"1471028820PXPVid4dPBBzMAv","",""